Name,Team,Position,Games,FGM,FGA,FTM,FTA,Rebounds,Assists,Steals,Blocks,TO,Points
Kristaps Porzingis,WAS,C,62,466.4,1027.1,244.7,289.9,524.6,137.4,44.1,102.3,106.3,1277.8
Rondae Hollis-Jefferson,,SF PF,29,43.1,89.3,37.1,56.2,80.2,23.1,9.1,8,15,123.4
Terry Rozier,CHA,SG PG,75,530.6,1208.6,181.5,214.6,315.9,324,92.3,25.1,112.3,1470.4
Norman Powell,LAC,SG SF,66,357.1,747.2,197.6,233.7,189.6,119.4,57.2,23.1,91.3,1050.1
Axel Toupane,,SF,29,10,23.1,4,4,15,7,0,8,0,24.1
Delon Wright,WAS,SG PG,76,157.5,343,68.2,83.2,227.7,199.6,89.3,18.1,55.2,429.3
Cristiano Felicio,,PF C,29,19.1,33.1,17.1,25.1,61.2,14,5,0,7,55.2
Bobby Portis,MIL,PF C,75,404.2,835.5,88.3,117.4,632.9,88.3,55.2,44.1,86.3,1021.1
Cedi Osman,CLE,SG SF PF,64,182.5,441.3,58.2,80.2,133.4,109.3,39.1,7,55.2,516.5
Myles Turner,IND,C,65,302.9,629.9,143.4,186.6,461.4,67.2,44.1,177.5,120.4,850.5
Stanley Johnson,,SF PF C,29,26.1,64.2,13,17.1,44.1,24.1,12,8,14,77.2
Nemanja Bjelica,,C,79,197.6,422.3,71.2,92.3,298.9,136.4,38.1,33.1,69.2,565.7
Tyus Jones,MEM,SG PG,75,229.7,513.5,52.2,63.2,166.5,304.9,63.2,4,46.1,585.8
Karl-Anthony Towns,MIN,PF C,74,621.9,1225.7,366.1,443.3,702.1,266.8,67.2,82.2,226.7,1768.3
Trey Lyles,SAC,PF,79,170.5,368.1,72.2,97.3,261.8,57.2,23.1,17.1,40.1,465.4
Raul Neto,CLE,SG PG,60,142.4,308.9,55.2,65.2,172.5,141.4,43.1,3,52.2,373.1
Cameron Payne,PHO,SG PG,68,254.8,570.7,72.2,83.2,190.6,295.9,45.1,18.1,103.3,661
Pat Connaughton,MIL,SG SF,72,215.6,480.4,45.1,57.2,283.8,87.3,55.2,17.1,37.1,613.8
Nikola Jokic,DEN,C,76,770.3,1378.1,359.1,431.3,938.8,610.8,104.3,60.2,271.8,2000
Montrezl Harrell,PHI,C,75,327,531.6,175.5,251.8,396.2,102.3,31.1,45.1,68.2,844.5
Boban Marjanovic,HOU,C,29,40.1,71.2,17.1,22.1,60.2,7,0,6,15,97.3
Kevon Looney,GS,C,79,177.5,358.1,56.2,84.3,556.7,143.4,46.1,45.1,66.2,411.2
Larry Nance Jr.,NO,PF C,65,188.6,371.1,47.1,71.2,364.1,125.4,64.2,25.1,58.2,465.4
D'Angelo Russell,MIN,PG,70,430.3,1018,192.6,240.7,235.7,487.5,71.2,24.1,184.6,1240.7
Devin Booker,PHO,SG SF,73,669,1395.2,400.2,451.4,358.1,353.1,78.2,26.1,187.6,1924.8
Willie Cauley-Stein,HOU,C,69,154.5,277.8,36.1,61.2,281.8,55.2,29.1,38.1,35.1,346
Brad Wanamaker,,PG,29,35.1,88.3,30.1,32.1,32.1,46.1,14,4,17.1,107.3
Thanasis Antetokounmpo,MIL,SF PF C,29,11,21.1,5,8,17.1,5,4,0,5,27.1
T.J. McConnell,IND,PG,63,196.6,379.1,33.1,41.1,176.5,303.9,71.2,17.1,91.3,446.3
Christian Wood,DAL,PF C,72,425.3,806.4,213.6,319,654,136.4,53.2,68.2,119.4,1188.6
Dario Saric,PHO,PF C,68,186.6,404.2,89.3,105.3,200.6,79.2,33.1,11,62.2,517.5
Rodney McGruder,DET,SG SF,29,30.1,66.2,7,9.1,37.1,15,7,0,7,82.2
Khem Birch,TOR,C,66,103.3,207.6,66.2,94.3,248.7,55.2,31.1,29.1,31.1,276.8
Ben Simmons,BKN,SF PG PF,69,362.1,636.9,189.6,305.9,510.5,508.5,109.3,40.1,202.6,921.8
Jamal Murray,DEN,SG PG,70,488.5,1046.1,185.6,211.6,273.8,321,76.2,20.1,138.4,1326
Davis Bertans,DAL,SF PF C,53,114.3,285.9,50.2,56.2,116.3,34.1,18.1,13,20.1,372.1
Kris Dunn,,SG PG,29,65.2,148.4,22.1,26.1,81.2,91.3,31.1,8,31.1,163.5
Brandon Ingram,NO,SG SF PF,68,559.7,1208.6,318,373.1,368.1,342,49.1,31.1,169.5,1542.6
Jaylen Brown,BOS,SG SF,73,634.9,1324,249.7,334,455.4,248.7,80.2,23.1,187.6,1702.1
Buddy Hield,IND,SG SF,77,438.3,1059.2,101.3,118.4,343,250.8,67.2,25.1,141.4,1235.7
Marquese Chriss,OKC,C,29,44.1,87.3,19.1,26.1,86.3,22.1,8,17.1,17.1,107.3
Malik Beasley,UTA,SG SF,74,366.1,874.6,80.2,97.3,243.7,122.4,44.1,14,61.2,1031.1
Dejounte Murray,ATL,SG PG,73,563.7,1228.7,169.5,212.6,493.5,503.5,135.4,21.1,181.5,1393.2
Taurean Prince,MIN,SF PF,73,192.6,469.4,71.2,87.3,206.6,83.2,50.2,25.1,64.2,554.7
Domantas Sabonis,SAC,PF C,71,528.6,961.9,267.8,366.1,846.5,392.2,69.2,34.1,220.7,1369.1
Jakob Poeltl,SA,C,71,418.3,675,99.3,202.6,656,204.6,52.2,121.4,111.3,936.8
